feature_id,feature_name,category,implementation_class,normative_specification,registry_entry,source_module,provider,positive_vectors,negative_vectors,hostile_tests,formal_definition,theorem_ids,assumption_ids,unit_test_status,integration_test_status,interop_status,lean_compile_status,implementation_status,critical_issues,evidence_paths
SHAKE128,SHAKE128,DIGEST,PURE_MJS,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/shake.mjs,in-repo,vectors/digest/shake128.json,vectors/digest/negative-algorithm-ids.json,test/hostile/hostile-input.test.mjs,no,,ASSUMPTION-PUREMJS-VECTOR-ADEQUACY,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/digest/shake.mjs;vectors/digest/shake128.json;test/unit/digest.test.mjs;test/hostile/hostile-input.test.mjs
SHAKE256,SHAKE256,DIGEST,PURE_MJS,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/shake.mjs,in-repo,vectors/digest/shake256.json,vectors/digest/negative-algorithm-ids.json,test/hostile/hostile-input.test.mjs,no,,ASSUMPTION-PUREMJS-VECTOR-ADEQUACY,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/digest/shake.mjs;vectors/digest/shake256.json;test/unit/digest.test.mjs;test/hostile/hostile-input.test.mjs
cSHAKE128,cSHAKE128,DIGEST,NODE_NATIVE,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,,node:crypto,no,no,no,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,NOT_RUN,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,NOT_IMPLEMENTED,,
cSHAKE256,cSHAKE256,DIGEST,NODE_NATIVE,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,,node:crypto,no,no,no,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,NOT_RUN,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,NOT_IMPLEMENTED,,
BLAKE2b-512,BLAKE2b-512,DIGEST,NODE_NATIVE,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/blake2.mjs,node:crypto,vectors/digest/blake2.json,vectors/digest/negative-algorithm-ids.json,test/hostile/hostile-input.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/digest/blake2.mjs;vectors/digest/blake2.json;test/unit/digest.test.mjs;test/hostile/hostile-input.test.mjs
BLAKE2s-256,BLAKE2s-256,DIGEST,NODE_NATIVE,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/blake2.mjs,node:crypto,vectors/digest/blake2.json,vectors/digest/negative-algorithm-ids.json,test/hostile/hostile-input.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/digest/blake2.mjs;vectors/digest/blake2.json;test/unit/digest.test.mjs;test/hostile/hostile-input.test.mjs
BLAKE3,BLAKE3,DIGEST,NODE_NATIVE,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,,node:crypto,no,no,no,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,NOT_RUN,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,NOT_IMPLEMENTED,,
Keccak-256,Keccak-256,DIGEST,NODE_NATIVE,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,,node:crypto,no,no,no,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,NOT_RUN,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,NOT_IMPLEMENTED,,
Keccak-512,Keccak-512,DIGEST,NODE_NATIVE,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,,node:crypto,no,no,no,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,NOT_RUN,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,NOT_IMPLEMENTED,,
SHA-1,SHA-1,DIGEST,RECOGNIZE_AND_REJECT,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/digest.mjs,,no,no,no,no,,,NOT_RUN,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,RECOGNIZE_ONLY,,src/digest/digest.mjs
MD5,MD5,DIGEST,RECOGNIZE_AND_REJECT,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/digest.mjs,,no,no,no,no,,,NOT_RUN,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,RECOGNIZE_ONLY,,src/digest/digest.mjs
HMAC-SHA-256,HMAC-SHA-256,MAC,NODE_NATIVE,FIPS 198-1 / RFC 4231,ALGORITHM_REGISTRY.json,src/mac/hmac.mjs,node:crypto,vectors/mac/hmac.json,vectors/mac/hmac.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/mac/hmac.mjs;vectors/mac/hmac.json;test/unit/mac-kdf-providers.test.mjs;test/hostile/hostile-surface.test.mjs
HMAC-SHA-384,HMAC-SHA-384,MAC,NODE_NATIVE,FIPS 198-1 / RFC 4231,ALGORITHM_REGISTRY.json,src/mac/hmac.mjs,node:crypto,vectors/mac/hmac.json,vectors/mac/hmac.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/mac/hmac.mjs;vectors/mac/hmac.json;test/unit/mac-kdf-providers.test.mjs;test/hostile/hostile-surface.test.mjs
HMAC-SHA-512,HMAC-SHA-512,MAC,NODE_NATIVE,FIPS 198-1 / RFC 4231,ALGORITHM_REGISTRY.json,src/mac/hmac.mjs,node:crypto,vectors/mac/hmac.json,vectors/mac/hmac.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/mac/hmac.mjs;vectors/mac/hmac.json;test/unit/mac-kdf-providers.test.mjs;test/hostile/hostile-surface.test.mjs
HMAC-SHA3-256,HMAC-SHA3-256,MAC,NODE_NATIVE,FIPS 198-1 / RFC 4231,ALGORITHM_REGISTRY.json,src/mac/hmac.mjs,node:crypto,vectors/mac/hmac.json,vectors/mac/hmac.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/mac/hmac.mjs;vectors/mac/hmac.json;test/unit/mac-kdf-providers.test.mjs;test/hostile/hostile-surface.test.mjs
HMAC-SHA3-384,HMAC-SHA3-384,MAC,NODE_NATIVE,FIPS 198-1 / RFC 4231,ALGORITHM_REGISTRY.json,src/mac/hmac.mjs,node:crypto,vectors/mac/hmac.json,vectors/mac/hmac.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/mac/hmac.mjs;vectors/mac/hmac.json;test/unit/mac-kdf-providers.test.mjs;test/hostile/hostile-surface.test.mjs
HMAC-SHA3-512,HMAC-SHA3-512,MAC,NODE_NATIVE,FIPS 198-1 / RFC 4231,ALGORITHM_REGISTRY.json,src/mac/hmac.mjs,node:crypto,vectors/mac/hmac.json,vectors/mac/hmac.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/mac/hmac.mjs;vectors/mac/hmac.json;test/unit/mac-kdf-providers.test.mjs;test/hostile/hostile-surface.test.mjs
KMAC128,KMAC128,MAC,VETTED_PROVIDER,FIPS 198-1 / RFC 4231,ALGORITHM_REGISTRY.json,,NOT_WIRED,no,no,no,no,,ASSUMPTION-PROVIDER-CORRECTNESS,NOT_RUN,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,NOT_IMPLEMENTED,,
KMAC256,KMAC256,MAC,VETTED_PROVIDER,FIPS 198-1 / RFC 4231,ALGORITHM_REGISTRY.json,,NOT_WIRED,no,no,no,no,,ASSUMPTION-PROVIDER-CORRECTNESS,NOT_RUN,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,NOT_IMPLEMENTED,,
keyed-BLAKE2,keyed BLAKE2,MAC,VETTED_PROVIDER,FIPS 198-1 / RFC 4231,ALGORITHM_REGISTRY.json,src/digest/blake2.mjs,NOT_WIRED,no,no,no,no,,ASSUMPTION-PROVIDER-CORRECTNESS,NOT_RUN,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE_PROVIDER_UNAVAILABLE,,src/digest/blake2.mjs
keyed-BLAKE3,keyed BLAKE3,MAC,VETTED_PROVIDER,FIPS 198-1 / RFC 4231,ALGORITHM_REGISTRY.json,,NOT_WIRED,no,no,no,no,,ASSUMPTION-PROVIDER-CORRECTNESS,NOT_RUN,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,NOT_IMPLEMENTED,,
HKDF-SHA-256,HKDF-SHA-256,KDF,NODE_NATIVE,RFC 5869 / RFC 8018 / RFC 7914,ALGORITHM_REGISTRY.json,src/kdf/hkdf.mjs,node:crypto,vectors/kdf/kdf.json,vectors/kdf/kdf.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS;ASSUMPTION-TRANSCRIPT-INJECTIVITY,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/kdf/hkdf.mjs;vectors/kdf/kdf.json;test/unit/mac-kdf-providers.test.mjs;test/hostile/hostile-surface.test.mjs
HKDF-SHA-384,HKDF-SHA-384,KDF,NODE_NATIVE,RFC 5869 / RFC 8018 / RFC 7914,ALGORITHM_REGISTRY.json,src/kdf/hkdf.mjs,node:crypto,vectors/kdf/kdf.json,vectors/kdf/kdf.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS;ASSUMPTION-TRANSCRIPT-INJECTIVITY,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/kdf/hkdf.mjs;vectors/kdf/kdf.json;test/unit/mac-kdf-providers.test.mjs;test/hostile/hostile-surface.test.mjs
HKDF-SHA-512,HKDF-SHA-512,KDF,NODE_NATIVE,RFC 5869 / RFC 8018 / RFC 7914,ALGORITHM_REGISTRY.json,src/kdf/hkdf.mjs,node:crypto,vectors/kdf/kdf.json,vectors/kdf/kdf.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS;ASSUMPTION-TRANSCRIPT-INJECTIVITY,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/kdf/hkdf.mjs;vectors/kdf/kdf.json;test/unit/mac-kdf-providers.test.mjs;test/hostile/hostile-surface.test.mjs
PBKDF2-HMAC-SHA-256,PBKDF2-HMAC-SHA-256,KDF,NODE_NATIVE,RFC 5869 / RFC 8018 / RFC 7914,ALGORITHM_REGISTRY.json,src/kdf/pbkdf2.mjs,node:crypto,vectors/kdf/kdf.json,vectors/kdf/kdf.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS;ASSUMPTION-TRANSCRIPT-INJECTIVITY,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/kdf/pbkdf2.mjs;vectors/kdf/kdf.json;test/unit/mac-kdf-providers.test.mjs;test/hostile/hostile-surface.test.mjs
PBKDF2-HMAC-SHA-512,PBKDF2-HMAC-SHA-512,KDF,NODE_NATIVE,RFC 5869 / RFC 8018 / RFC 7914,ALGORITHM_REGISTRY.json,src/kdf/pbkdf2.mjs,node:crypto,vectors/kdf/kdf.json,vectors/kdf/kdf.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS;ASSUMPTION-TRANSCRIPT-INJECTIVITY,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/kdf/pbkdf2.mjs;vectors/kdf/kdf.json;test/unit/mac-kdf-providers.test.mjs;test/hostile/hostile-surface.test.mjs
scrypt,scrypt,KDF,NODE_NATIVE,RFC 5869 / RFC 8018 / RFC 7914,ALGORITHM_REGISTRY.json,src/kdf/scrypt.mjs,node:crypto,no,no,no,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,NOT_RUN,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,PARTIAL,,src/kdf/scrypt.mjs
Argon2id,Argon2id,KDF,VETTED_PROVIDER,RFC 5869 / RFC 8018 / RFC 7914,ALGORITHM_REGISTRY.json,,NOT_WIRED,no,no,no,no,,ASSUMPTION-PROVIDER-CORRECTNESS,NOT_RUN,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,NOT_IMPLEMENTED,,
ProofBundle-subkey-derivation,ProofBundle domain-separated subkey derivation,KDF,PURE_MJS,RFC 5869 / RFC 8018 / RFC 7914,ALGORITHM_REGISTRY.json,src/kdf/subkey-derivation.mjs,in-repo,vectors/kdf/kdf.json,vectors/kdf/kdf.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-PUREMJS-VECTOR-ADEQUACY;ASSUMPTION-TRANSCRIPT-INJECTIVITY,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/kdf/subkey-derivation.mjs;vectors/kdf/kdf.json;test/unit/mac-kdf-providers.test.mjs;test/hostile/hostile-surface.test.mjs
Ed25519,Ed25519,SIGNATURE,NODE_NATIVE,RFC 8032 / FIPS 186-5 / RFC 8017,ALGORITHM_REGISTRY.json,src/signature/signature.mjs;src/keys/key-generation.mjs;src/keys/key-id.mjs,node:crypto,vectors/signatures/signatures.json,vectors/signatures/signatures.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS;ASSUMPTION-TRANSCRIPT-INJECTIVITY;ASSUMPTION-SIGNATURE-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/signature/signature.mjs;src/keys/key-generation.mjs;src/keys/key-id.mjs;vectors/signatures/signatures.json;test/unit/signature-kem-aead.test.mjs;test/hostile/hostile-surface.test.mjs
Ed448,Ed448,SIGNATURE,NODE_NATIVE,RFC 8032 / FIPS 186-5 / RFC 8017,ALGORITHM_REGISTRY.json,src/signature/signature.mjs;src/keys/key-generation.mjs;src/keys/key-id.mjs,node:crypto,vectors/signatures/signatures.json,vectors/signatures/signatures.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS;ASSUMPTION-TRANSCRIPT-INJECTIVITY;ASSUMPTION-SIGNATURE-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/signature/signature.mjs;src/keys/key-generation.mjs;src/keys/key-id.mjs;vectors/signatures/signatures.json;test/unit/signature-kem-aead.test.mjs;test/hostile/hostile-surface.test.mjs
ECDSA-P-256-SHA-256,ECDSA P-256 with SHA-256,SIGNATURE,NODE_NATIVE,RFC 8032 / FIPS 186-5 / RFC 8017,ALGORITHM_REGISTRY.json,src/signature/signature.mjs;src/keys/key-generation.mjs;src/keys/key-id.mjs,node:crypto,vectors/signatures/signatures.json,vectors/signatures/signatures.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS;ASSUMPTION-TRANSCRIPT-INJECTIVITY;ASSUMPTION-SIGNATURE-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/signature/signature.mjs;src/keys/key-generation.mjs;src/keys/key-id.mjs;vectors/signatures/signatures.json;test/unit/signature-kem-aead.test.mjs;test/hostile/hostile-surface.test.mjs
ECDSA-P-384-SHA-384,ECDSA P-384 with SHA-384,SIGNATURE,NODE_NATIVE,RFC 8032 / FIPS 186-5 / RFC 8017,ALGORITHM_REGISTRY.json,src/signature/signature.mjs;src/keys/key-generation.mjs;src/keys/key-id.mjs,node:crypto,vectors/signatures/signatures.json,vectors/signatures/signatures.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS;ASSUMPTION-TRANSCRIPT-INJECTIVITY;ASSUMPTION-SIGNATURE-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/signature/signature.mjs;src/keys/key-generation.mjs;src/keys/key-id.mjs;vectors/signatures/signatures.json;test/unit/signature-kem-aead.test.mjs;test/hostile/hostile-surface.test.mjs
ECDSA-P-521-SHA-512,ECDSA P-521 with SHA-512,SIGNATURE,NODE_NATIVE,RFC 8032 / FIPS 186-5 / RFC 8017,ALGORITHM_REGISTRY.json,src/signature/signature.mjs;src/keys/key-generation.mjs;src/keys/key-id.mjs,node:crypto,vectors/signatures/signatures.json,vectors/signatures/signatures.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS;ASSUMPTION-TRANSCRIPT-INJECTIVITY;ASSUMPTION-SIGNATURE-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/signature/signature.mjs;src/keys/key-generation.mjs;src/keys/key-id.mjs;vectors/signatures/signatures.json;test/unit/signature-kem-aead.test.mjs;test/hostile/hostile-surface.test.mjs
RSA-PSS-SHA-256,RSA-PSS with SHA-256,SIGNATURE,NODE_NATIVE,RFC 8032 / FIPS 186-5 / RFC 8017,ALGORITHM_REGISTRY.json,src/signature/signature.mjs;src/keys/key-generation.mjs;src/keys/key-id.mjs,node:crypto,vectors/signatures/signatures.json,vectors/signatures/signatures.json,test/hostile/hostile-surface.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS;ASSUMPTION-TRANSCRIPT-INJECTIVITY;ASSUMPTION-SIGNATURE-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/signature/signature.mjs;src/keys/key-generation.mjs;src/keys/key-id.mjs;vectors/signatures/signatures.json;test/unit/signature-kem-aead.test.mjs;test/hostile/hostile-surface.test.mjs
